x=0.30166942 , y=4.122815 , z=9.476251
x=0.095768064 , y=4.0078936 , z=8.813056
x=-0.18195933 , y=3.7565024 , z=9.083601
x=-0.1364695 , y=3.5362358 , z=10.299856
x=0.30645782 , y=3.4021606 , z=10.943896
x=0.81881696 , y=3.2920272 , z=11.008539
x=0.9576807 , y=3.2130187 , z=10.469844
x=1.0534488 , y=3.1483753 , z=9.753978
x=0.8331822 , y=3.1555579 , z=10.778696
x=0.6464345 , y=3.2249897 , z=12.0093155
x=0.4165911 , y=3.406949 , z=11.858481
x=-0.05746084 , y=3.5745432 , z=10.943896
x=-0.35194764 , y=3.5482068 , z=9.165004
x=-0.29927522 , y=3.6942532 , z=8.7771435
x=0.05267244 , y=3.9312792 , z=9.220071
x=0.31603462 , y=4.307169 , z=10.103531
x=0.4237737 , y=4.429273 , z=9.653421
x=0.7230489 , y=4.39336 , z=8.537724
x=1.0295067 , y=4.39336 , z=7.419631
x=1.4149733 , y=4.4556093 , z=7.144298
x=1.2737153 , y=4.687847 , z=8.441956
x=0.9648633 , y=4.771644 , z=7.843405
x=0.51235914 , y=4.7141833 , z=6.0836663
x=0.22505496 , y=4.675876 , z=5.233725
x=-0.1436521 , y=4.5753193 , z=5.9687448
x=0.21308395 , y=4.381389 , z=7.40766
x=0.36152446 , y=4.225766 , z=7.941567
x=0.21308395 , y=4.1611223 , z=7.6973586
x=0.21068975 , y=4.072537 , z=6.459556
x=0.4333505 , y=4.146757 , z=6.8785415
x=0.7445967 , y=4.1060557 , z=7.702147
x=0.58897364 , y=4.0916905 , z=9.392453
x=0.14844051 , y=3.9480386 , z=10.536881
x=0.08379706 , y=3.7900212 , z=10.223241
x=0.107739076 , y=3.655946 , z=8.841787
x=-0.11492168 , y=3.751714 , z=7.7931266
x=0.007182605 , y=3.9384618 , z=8.39886
x=0.6919243 , y=4.1635165 , z=8.983045
x=1.0726024 , y=4.4101195 , z=8.499416
x=1.3263878 , y=4.548983 , z=7.2328835
x=1.5610195 , y=4.4436383 , z=5.2648497
x=1.6591818 , y=4.3622355 , z=4.6016555
x=1.958457 , y=4.3119574 , z=7.445967
x=1.769315 , y=4.1132383 , z=8.683769
x=1.2090719 , y=4.0773253 , z=8.827422
x=0.7350199 , y=3.9695864 , z=8.257602
x=0.36870706 , y=3.8115692 , z=9.035717
x=0.23942018 , y=3.560178 , z=11.281479
x=0.39025488 , y=3.4620156 , z=12.375628
x=0.45010993 , y=3.2393548 , z=12.591106
x=0.5243302 , y=2.9472623 , z=12.018892
x=0.47405192 , y=2.5139117 , z=11.145009
x=-0.045489833 , y=2.1021092 , z=11.978191
x=-0.48123455 , y=2.099715 , z=13.611036
x=-0.6703765 , y=2.3104045 , z=13.962984
x=-1.0366893 , y=2.6599581 , z=12.5982895
x=-1.3311762 , y=2.932897 , z=11.03727
x=-1.2114661 , y=3.4452562 , z=9.0476885
x=-1.0726024 , y=3.775656 , z=9.016563
x=-0.021547815 , y=4.120421 , z=7.7069354
x=0.8619126 , y=4.429273 , z=6.4284315
x=1.6136919 , y=4.757279 , z=4.2066126
x=2.2026656 , y=4.9440265 , z=4.084508
x=2.4109612 , y=5.0134583 , z=5.765238
x=2.2026656 , y=4.9895163 , z=8.1163435
x=1.8387469 , y=5.0900726 , z=8.683769
x=1.0510546 , y=5.171476 , z=7.7332716
x=-0.14604631 , y=5.011064 , z=6.9599442
x=-0.5722142 , y=4.8458643 , z=7.457938
x=-0.35913026 , y=4.817134 , z=9.296685
x=-0.21308395 , y=4.6926355 , z=9.406818
x=-0.12210429 , y=4.5537715 , z=8.736442
x=0.110133275 , y=4.3646297 , z=8.228871
x=0.08619126 , y=4.209007 , z=8.034941
x=0.062249243 , y=4.2185836 , z=8.611943
x=0.49320555 , y=4.5513773 , z=11.477803
x=0.7038953 , y=5.032612 , z=12.413936
x=-0.0023942017 , y=5.032612 , z=10.163386
x=-0.09816227 , y=4.795586 , z=8.6813755
x=0.4165911 , y=4.525041 , z=9.208099
x=0.7589619 , y=4.261679 , z=9.919178
x=0.7302315 , y=4.134786 , z=10.366894
x=0.31124622 , y=4.132392 , z=9.16261
x=-0.1340753 , y=4.050989 , z=8.197746
x=-0.37588966 , y=3.8067808 , z=8.583213
x=-0.1388637 , y=3.6008794 , z=9.885659
x=0.25617957 , y=3.53863 , z=10.055647
x=0.2681506 , y=3.7062242 , z=9.933543
x=-0.023942016 , y=3.6152446 , z=9.629479
x=-0.023942016 , y=3.2393548 , z=9.296685
