x=0.22744916 , y=2.3511062 , z=6.9767036
x=0.23223756 , y=2.1906946 , z=7.0102224
x=-0.14604631 , y=2.0685902 , z=7.4986396
x=-0.5410896 , y=1.8914193 , z=8.276755
x=-0.7541735 , y=1.8986019 , z=9.016563
x=-0.93373865 , y=1.8938135 , z=9.478644
x=-1.2689269 , y=1.8387469 , z=9.7324295
x=-1.3144168 , y=1.745373 , z=10.079589
x=-1.1731589 , y=1.7717092 , z=9.890448
x=-1.1348516 , y=1.8124107 , z=9.68694
x=-1.1133038 , y=1.7477672 , z=9.255983
x=-0.7086837 , y=1.7405846 , z=8.817844
x=-0.45968673 , y=1.8674773 , z=8.461109
x=-0.38307226 , y=1.922544 , z=8.152257
x=-0.2657564 , y=1.9009962 , z=8.377312
x=-0.18674773 , y=1.8650831 , z=9.052477
x=-0.25617957 , y=1.8698715 , z=9.615114
x=-0.45010993 , y=1.9416976 , z=9.988609
x=-0.62967503 , y=1.9728222 , z=10.407595
x=-0.7302315 , y=1.958457 , z=10.630256
x=-0.6368576 , y=1.8483237 , z=11.147403
x=-0.62009823 , y=1.7262194 , z=11.405977
x=-0.7134721 , y=1.6831238 , z=11.499351
x=-0.80445176 , y=1.6017209 , z=11.662156
x=-0.81881696 , y=1.508347 , z=12.100295
x=-0.91219085 , y=1.4293385 , z=12.677298
x=-1.1372458 , y=1.4772224 , z=12.840104
x=-1.3024458 , y=1.5346833 , z=12.765883
x=-1.1827357 , y=1.6136919 , z=12.768278
x=-1.127669 , y=1.6950948 , z=12.466608
x=-0.9864111 , y=1.8842367 , z=11.767501
x=-0.7206547 , y=2.066196 , z=11.070788
x=-0.4141969 , y=2.1452048 , z=10.69011
x=-0.045489833 , y=2.1667526 , z=10.3214035
x=0.02633622 , y=2.27928 , z=10.010158
x=-0.01436521 , y=2.3463178 , z=9.792285
x=-0.035913024 , y=2.255338 , z=9.854534
x=-0.15322891 , y=2.336741 , z=10.079589
x=-0.36870706 , y=2.4827871 , z=10.163386
x=-0.5602432 , y=2.5067291 , z=10.024523
x=-0.59855044 , y=2.4420857 , z=9.82341
x=-0.3854665 , y=2.3918076 , z=9.600749
x=-0.23702596 , y=2.4396915 , z=9.3661175
x=-0.40222588 , y=2.3104045 , z=8.930372
x=-0.48841715 , y=2.135628 , z=8.78672
x=-0.5793968 , y=1.9919758 , z=9.124303
x=-0.79248077 , y=1.8028339 , z=9.787497
x=-0.90021986 , y=1.769315 , z=10.208876
x=-1.0773908 , y=1.7812861 , z=10.644621
x=-1.2162545 , y=1.673547 , z=10.953473
x=-1.1444284 , y=1.5753847 , z=11.429919
x=-1.2306197 , y=1.5682021 , z=11.250354
x=-1.2114661 , y=1.6543933 , z=10.630256
x=-1.0606314 , y=1.7022774 , z=9.885659
x=-0.79966336 , y=1.685518 , z=9.184157
x=-0.5291186 , y=1.7381904 , z=8.157045
x=-0.39504328 , y=1.6256629 , z=7.797915
x=-0.38307226 , y=1.4915876 , z=8.0445175
x=-0.58418524 , y=1.4317327 , z=8.930372
x=-0.7398083 , y=1.508347 , z=9.588778
x=-1.1348516 , y=1.5155296 , z=10.699687
x=-1.5370775 , y=1.3934253 , z=11.518504
x=-1.8148049 , y=1.4197617 , z=11.9853735
x=-1.7645266 , y=1.5777789 , z=12.3277445
x=-1.8219875 , y=1.6065093 , z=12.105083
x=-1.7429788 , y=1.6687586 , z=11.501745
x=-1.364695 , y=1.7118542 , z=10.644621
x=-1.2138603 , y=1.7429788 , z=9.967062
x=-0.9983821 , y=1.8914193 , z=9.548077
x=-0.89303726 , y=2.0350714 , z=9.11712
x=-0.7637503 , y=2.0398598 , z=8.635885
x=-0.79966336 , y=2.0973208 , z=8.870518
x=-0.62249243 , y=2.1667526 , z=9.416395
x=-0.6368576 , y=2.2266076 , z=9.751583
x=-0.51954174 , y=2.3199813 , z=9.97185
x=-0.4237737 , y=2.384625 , z=10.228029
x=-0.39504328 , y=2.360683 , z=10.388441
